Frequency - p,Frac. Tests  (One-Time Pooling),Optimal Batch Size (One-Time Pooling), Batch Size Used (One-Time Pooling),Frac. Tests (Repeated Pooling),Optimal Batch Size (Repeated Pooling),Batch Size Used  (Repeated Pooling),Repeated Pooling Theory,Entropy
0.084,0.5437,4.0286,4,0.5461,7.9001,4,0.54216,0.41612
0.085,0.54995,4.0091,4,0.54883,7.803,4,0.54593,0.41956
0.086,0.55309,3.99,4,0.55278,7.7081,4,0.54965,0.42298
0.087,0.55582,3.9712,4,0.55505,7.6154,4,0.55335,0.42638
0.088,0.55824,3.9527,4,0.558,7.5248,4,0.55701,0.42976
0.089,0.55951,3.9346,4,0.56054,7.4362,4,0.56064,0.43312
0.09,0.56389,3.9168,4,0.56356,7.3496,4,0.56425,0.43647
0.091,0.56589,3.8993,4,0.56918,7.2649,4,0.56782,0.4398
0.092,0.56914,3.8821,4,0.57499,7.1821,4,0.57135,0.44311
0.093,0.57047,3.8652,4,0.56995,7.101,4,0.57486,0.4464
0.094,0.57774,3.8486,4,0.57819,7.0216,4,0.57834,0.44968
0.095,0.58169,3.8323,4,0.57988,6.9439,4,0.58179,0.45294
0.096,0.58065,3.8162,4,0.58229,6.8679,4,0.58521,0.45619
0.097,0.58809,3.8004,4,0.58057,6.7934,4,0.5886,0.45941
0.098,0.59087,3.7849,4,0.58663,6.7204,4,0.59196,0.46262
0.099,0.59012,3.7696,4,0.58994,6.6489,4,0.5953,0.46582
0.1,0.5945,3.7546,4,0.59274,6.5788,4,0.5986,0.469
0.101,0.59605,3.7398,4,0.59657,6.5101,4,0.60188,0.47216
0.102,0.60208,3.7252,4,0.59949,6.4428,4,0.60513,0.4753
0.103,0.60139,3.7109,4,0.60265,6.3767,4,0.60835,0.47843
0.104,0.60799,3.6968,4,0.60672,6.312,4,0.61154,0.48155
0.105,0.60724,3.6829,4,0.60701,6.2484,4,0.61471,0.48465
0.106,0.61359,3.6692,4,0.60911,6.1861,4,0.61785,0.48773
0.107,0.61327,3.6557,4,0.61223,6.1249,4,0.62096,0.4908
0.108,0.61405,3.6425,4,0.61635,6.0649,4,0.62404,0.49385
0.109,0.61642,3.6294,4,0.61804,6.0059,4,0.6271,0.49689
0.11,0.62496,3.6165,4,0.61931,5.948,4,0.63013,0.49992
0.111,0.6252,3.6038,4,0.62664,5.8912,4,0.63314,0.50292
0.112,0.62719,3.5913,4,0.62671,5.8354,4,0.63612,0.50592
0.113,0.62897,3.579,4,0.63517,5.7805,4,0.63908,0.5089
0.114,0.63086,3.5669,4,0.63747,5.7267,4,0.64201,0.51186
